Optimization Results - Beta,,,,,,,,,
"NDC (Varying a[0.01,0.99], b=1)",,,,,"SDC (Varying a[0.01,0.99], b=1)",,,,
iter,a,b,S_init,RMSE,iter,a,b,S_init,RMSE
20,1.000,0.990,85.172,0.708,20,1.000,0.990,87.160,0.868
21,1.000,0.990,85.172,0.708,21,1.000,0.990,87.160,0.868
22,1.000,0.931,29.368,1.482,22,1.000,0.990,38.915,0.920
23,1.000,0.976,71.685,0.591,23,1.000,0.990,64.619,0.636
24,1.000,0.976,71.685,0.591,24,1.000,0.990,64.619,0.636
25,1.000,0.976,71.685,0.591,25,1.000,0.990,64.619,0.636
26,1.000,0.976,68.867,0.589,26,1.000,0.989,61.117,0.635
27,1.000,0.976,68.867,0.589,27,1.000,0.989,61.117,0.635
28,1.000,0.976,68.867,0.589,28,1.000,0.989,61.117,0.635
29,1.000,0.984,70.593,0.587,29,1.000,0.989,62.433,0.634
30,1.000,0.984,70.593,0.587,30,1.000,0.989,62.433,0.634
31,1.000,0.984,70.593,0.587,31,1.000,0.989,62.433,0.634
32,1.000,0.990,71.404,0.587,32,1.000,0.987,62.283,0.634
33,1.000,0.990,71.404,0.587,33,1.000,0.987,62.283,0.634
34,1.000,0.990,71.404,0.587,34,1.000,0.987,62.283,0.634
35,1.000,0.990,71.323,0.587,35,1.000,0.978,61.208,0.634
36,1.000,0.990,71.323,0.587,36,1.000,0.978,61.208,0.634
37,1.000,0.990,71.323,0.587,37,1.000,0.978,61.208,0.634
38,1.000,0.990,71.213,0.587,38,1.000,0.910,53.886,0.632
39,1.000,0.990,71.213,0.587,39,1.000,0.910,53.886,0.632
40,1.000,0.990,71.213,0.587,40,1.000,0.910,53.886,0.632
,,,,,41,1.000,0.407,0.000,0.912
,,,,,42,1.000,0.859,48.498,0.636
,,,,,43,1.000,0.899,52.712,0.633
,,,,,44,1.000,0.907,53.591,0.632
,,,,,45,1.000,0.908,53.743,0.632
,,,,,46,1.000,0.908,53.743,0.632
,,,,,47,1.000,0.908,53.743,0.632
,,,,,48,1.000,0.406,0.000,0.910
,,,,,49,1.000,0.858,48.369,0.636
,,,,,50,1.000,0.893,52.136,0.633
,,,,,51,1.000,0.904,53.253,0.633
,,,,,52,1.000,0.907,53.593,0.632
,,,,,53,1.000,0.908,53.696,0.632
,,,,,54,1.000,0.908,53.727,0.632
,,,,,55,1.000,0.908,53.737,0.632
,,,,,56,1.000,0.908,53.737,0.632
,,,,,57,1.000,0.908,53.737,0.632
,,,,,58,1.000,0.907,53.928,0.632
,,,,,59,1.000,0.907,53.928,0.632
,,,,,60,1.000,0.907,53.928,0.632
,,,,,61,1.000,0.907,53.911,0.632
,,,,,62,1.000,0.907,53.911,0.632
,,,,,63,1.000,0.907,53.911,0.632
,,,,,64,1.000,0.907,53.822,0.632
,,,,,65,1.000,0.907,53.886,0.632
,,,,,66,1.000,0.907,53.886,0.632
,,,,,67,1.000,0.907,53.886,0.632
,,,,,68,1.000,0.909,53.249,0.633
,,,,,69,1.000,0.907,53.807,0.632
,,,,,70,1.000,0.907,53.867,0.632
,,,,,71,1.000,0.907,53.881,0.632
,,,,,72,1.000,0.907,53.884,0.632
