BORR - Stable Isotope Database - Precipitation,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ¹⁸O,δD,Location
2/2/2021 14:00:00,2/2/2021 14:00:00,0,Stream,-8.30,-53.45,NDC
2/2/2021 5:00:00,2/2/2021 5:00:00,0,Stream,-8.29,-54.07,NDC
2/2/2021 0:00:00,2/2/2021 0:00:00,0,Stream,-8.27,-54.50,NDC
2/2/2021 10:00:00,2/2/2021 10:00:00,0,Stream,-8.25,-53.40,NDC
2/2/2021 8:00:00,2/2/2021 8:00:00,0,Stream,-8.21,-53.49,NDC
2/2/2021 7:00:00,2/2/2021 7:00:00,0,Stream,-8.20,-53.33,NDC
2/2/2021 16:00:00,2/2/2021 16:00:00,0,Stream,-8.19,-53.32,NDC
2/2/2021 20:00:00,2/2/2021 20:00:00,0,Stream,-8.01,-52.46,NDC
2/2/2021 12:00:00,2/2/2021 12:00:00,0,Stream,-7.98,-51.02,SDC
2/2/2021 14:00:00,2/2/2021 14:00:00,0,Stream,-7.93,-50.68,SDC
2/2/2021 8:00:00,2/2/2021 8:00:00,0,Stream,-7.60,-49.60,SDC
2/3/2021 8:00:00,2/3/2021 8:00:00,0,Stream,-7.82,-52.22,NDC
2/3/2021 10:00:00,2/3/2021 10:00:00,0,Stream,-7.69,-50.62,SDC
2/4/2021 14:00:00,2/4/2021 14:00:00,0,Stream,-8.00,-52.69,NDC
2/4/2021 12:00:00,2/4/2021 12:00:00,0,Stream,-7.67,-51.29,NDC
2/4/2021 10:00:00,2/4/2021 10:00:00,0,Stream,-7.88,-50.31,SDC
2/4/2021 10:00:00,2/4/2021 10:00:00,0,Stream,-7.56,-50.14,SDC
2/11/2021 20:00:00,2/11/2021 20:00:00,0,Stream,-7.69,-49.77,NDC
2/12/2021 10:00:00,2/12/2021 10:00:00,0,Stream,-7.69,-49.69,NDC
2/12/2021 0:00:00,2/12/2021 0:00:00,0,Stream,-7.64,-49.61,NDC
2/12/2021 23:00:00,2/12/2021 23:00:00,0,Stream,-7.77,-50.44,SDC
2/12/2021 14:00:00,2/12/2021 14:00:00,0,Stream,-7.76,-49.46,SDC
2/12/2021 17:00:00,2/12/2021 17:00:00,0,Stream,-7.69,-49.74,SDC
2/13/2021 12:00:00,2/13/2021 12:00:00,0,Stream,-7.60,-48.70,NDC
2/13/2021 2:00:00,2/13/2021 2:00:00,0,Stream,-7.58,-48.80,NDC
2/13/2021 10:00:00,2/13/2021 10:00:00,0,Stream,-7.53,-48.36,NDC
2/13/2021 6:00:00,2/13/2021 6:00:00,0,Stream,-7.41,-48.60,NDC
2/15/2021 12:00:00,2/15/2021 12:00:00,0,Stream,-7.60,-49.39,NDC
2/15/2021 12:00:00,2/15/2021 12:00:00,0,Stream,-7.67,-49.08,SDC
2/20/2021 12:00:00,2/20/2021 12:00:00,0,Stream,-7.53,-49.21,NDC
2/20/2021 12:00:00,2/20/2021 12:00:00,0,Stream,-6.78,-46.32,SDC
3/2/2021 10:00:00,3/2/2021 10:00:00,0,Stream,-7.38,-47.60,NDC
3/2/2021 11:00:00,3/2/2021 11:00:00,0,Stream,-7.51,-47.93,SDC
3/9/2021 13:00:00,3/9/2021 13:00:00,0,Stream,-8.42,-47.28,NDC
3/9/2021 13:00:00,3/9/2021 13:00:00,0,Stream,-7.49,-47.92,SDC
3/9/2021 18:00:00,3/9/2021 18:00:00,0,Stream,-6.88,-45.89,SDC
3/10/2021 17:00:00,3/10/2021 17:00:00,0,Stream,-7.59,-47.90,NDC
3/10/2021 3:00:00,3/10/2021 3:00:00,0,Stream,-7.49,-47.75,NDC
3/10/2021 9:00:00,3/10/2021 9:00:00,0,Stream,-7.48,-47.83,NDC
3/10/2021 11:00:00,3/10/2021 11:00:00,0,Stream,-7.07,-46.60,NDC
3/10/2021 16:00:00,3/10/2021 16:00:00,0,Stream,-7.79,-48.77,SDC
3/10/2021 8:00:00,3/10/2021 8:00:00,0,Stream,-7.65,-48.46,SDC
3/10/2021 4:00:00,3/10/2021 4:00:00,0,Stream,-7.57,-48.07,SDC
3/11/2021 12:00:00,3/11/2021 12:00:00,0,Stream,-7.25,-46.40,NDC
3/11/2021 0:00:00,3/11/2021 0:00:00,0,Stream,-6.71,-45.88,NDC
3/11/2021 12:00:00,3/11/2021 12:00:00,0,Stream,-7.49,-47.75,SDC
3/14/2021 18:00:00,3/14/2021 18:00:00,0,Stream,-7.43,-47.14,NDC
3/14/2021 20:00:00,3/14/2021 20:00:00,0,Stream,-7.42,-46.89,NDC
3/14/2021 22:00:00,3/14/2021 22:00:00,0,Stream,-7.39,-46.39,NDC
3/14/2021 16:00:00,3/14/2021 16:00:00,0,Stream,-5.45,-41.67,NDC
3/14/2021 16:00:00,3/14/2021 16:00:00,0,Stream,-7.59,-48.34,SDC
3/14/2021 22:00:00,3/14/2021 22:00:00,0,Stream,-7.57,-47.65,SDC
3/14/2021 20:00:00,3/14/2021 20:00:00,0,Stream,-7.49,-47.51,SDC
3/15/2021 0:00:00,3/15/2021 0:00:00,0,Stream,-7.56,-47.77,NDC
3/15/2021 3:00:00,3/15/2021 3:00:00,0,Stream,-7.49,-47.21,NDC
