Date,dO18,dD
10/1/2020,0,0
6/22/2021,-7.44,-46.98
6/22/2021,-7.64,-47.93
6/22/2021,-7.52,-47.46
7/1/2021,-7.65,-48.27
6/30/2021,-7.49,-47.58
7/22/2021,-7.17,-45.71
6/29/2022,-7.13,-45.42
6/29/2022,-7.28,-45.81
6/29/2022,-7.41,-46.76
9/30/2022,0,0
