Date,dO18,dD
1/22/2021 0:00:00,-6.80,-39.12
1/26/2021 0:00:00,-11.89,-79.42
1/28/2021 0:00:00,-13.56,-90.76
1/28/2021 15:00:00,-13.14,-85.05
1/28/2021 13:00:00,-15.77,-110.63
1/30/2021 15:00:00,-10.63,-62.37
2/4/2021 0:00:00,-7.42,-44.06
