"Time","BORR Arbor Relay Air RelativeHumidity rhmax %","BORR Arbor Relay Air RelativeHumidity rhmin %","BORR Arbor Relay Air Speed wsmsuwvt m/s","BORR Arbor Relay Air Temperature airtcavg degC","BORR Arbor Relay Air Temperature winddirsduwvt °","BORR Arbor Relay Rainfall mm","BORR Arbor Relay Solar Radiation Average W/m^2"
"2022-10-01 00:00:00",40.9,39.6,1.333,19.37,12.39,0,0
"2022-10-01 00:10:00",42.3,40.1,1.089,19.2,13.5,0,0
"2022-10-01 00:20:00",42.9,40.6,0.704,18.89,20.67,0,0
"2022-10-01 00:30:00",42.4,40.9,0.275,18.84,28.57,0,0
"2022-10-01 00:40:00",42.3,41.1,0.711,18.91,8.63,0,0
"2022-10-01 00:50:00",44,41.8,0.924,18.77,9.61,0,0
"2022-10-01 01:00:00",44.7,42.9,0.641,18.57,19.62,0,0
"2022-10-01 01:10:00",43.8,42.1,0.754,18.86,21.81,0,0
"2022-10-01 01:20:00",43.7,41.3,0.919,18.96,12.16,0,0
"2022-10-01 01:30:00",45.1,43.1,1.112,18.55,13.71,0,0
"2022-10-01 01:40:00",45.1,43.6,1.373,18.42,8.08,0,0
"2022-10-01 01:50:00",44.4,42.5,1.226,18.76,12.61,0,0
"2022-10-01 02:00:00",42.6,40.9,1.113,19.42,11.44,0,0
"2022-10-01 02:10:00",42.6,41.6,0.98,19.47,7.968,0,0
"2022-10-01 02:20:00",43,42.2,0.922,19.38,11.16,0,0
"2022-10-01 02:30:00",42.8,41.6,0.928,19.48,12.08,0,0
"2022-10-01 02:40:00",42.8,41.7,1.011,19.56,9.45,0,0
"2022-10-01 02:50:00",42.2,40.6,0.765,19.67,13.02,0,0
"2022-10-01 03:00:00",43.1,41.1,0.193,19.29,41.6,0,0
"2022-10-01 03:10:00",44.2,42.4,0.141,18.79,46.8,0,0
"2022-10-01 03:20:00",44.2,42.7,0.317,18.81,14.95,0,0
"2022-10-01 03:30:00",44.6,42.8,0.17,18.68,20.08,0,0
"2022-10-01 03:40:00",44.7,42.4,0.137,18.71,46.55,0,0
"2022-10-01 03:50:00",43.5,41.5,0.408,18.97,11.92,0,0
"2022-10-01 04:00:00",42.5,41.3,0.655,19.14,14.06,0,0
"2022-10-01 04:10:00",41.8,40,1.213,19.76,8.33,0,0
"2022-10-01 04:20:00",42.6,41.3,0.935,19.69,12.05,0,0
"2022-10-01 04:30:00",41.9,41,0.637,19.67,6.889,0,0
"2022-10-01 04:40:00",42.5,41.3,0.62,19.57,8.51,0,0
"2022-10-01 04:50:00",42.8,41.8,0.762,19.51,4.848,0,0
"2022-10-01 05:00:00",42.5,41.1,0.921,19.63,10.29,0,0
"2022-10-01 05:10:00",43.9,41.8,0.102,19.22,68.38,0,0
"2022-10-01 05:20:00",43.5,42.1,0.881,19.18,10.52,0,0
"2022-10-01 05:30:00",43.5,42.3,1.223,19.43,7.872,0,0
"2022-10-01 05:40:00",43.9,42.4,0.934,19.49,17.46,0,0
"2022-10-01 05:50:00",43.9,42,1.132,19.53,13.9,0,0
"2022-10-01 06:00:00",43.4,42.1,0.991,19.74,10.35,0,0
"2022-10-01 06:10:00",43.4,42,0.981,19.63,10.13,0,3
"2022-10-01 06:20:00",43.5,42.1,1.07,19.77,14.82,0,5
"2022-10-01 06:30:00",43.4,42.3,0.74,19.7,14.62,0,8
"2022-10-01 06:40:00",43.4,42.5,0.928,19.54,8.81,0,10
"2022-10-01 06:50:00",42.7,41.5,0.867,19.83,11.23,0,12
"2022-10-01 07:00:00",43.1,41.5,0.393,19.94,27.56,0,13
"2022-10-01 07:10:00",43.3,41.1,0.31,20.05,39.43,0,14
