DateTime,Ensemble ET,Precip (gridMET)
2020-03-27 00:00:00,1.506,2.367
2020-03-28 00:00:00,1.014,1.547
2020-03-29 00:00:00,1.472,2.184
2020-03-30 00:00:00,1.954,2.822
2020-03-31 00:00:00,1.943,2.731
2020-04-01 00:00:00,1.955,2.678
2020-04-02 00:00:00,2.607,3.481
2020-04-03 00:00:00,2.466,3.213
2020-04-04 00:00:00,0.964,1.25
2020-04-05 00:00:00,0.554,0.714
2020-04-06 00:00:00,1.043,1.339
2020-04-07 00:00:00,2.167,2.767
2020-04-08 00:00:00,2.108,2.678
2020-04-09 00:00:00,1.412,1.785
2020-04-10 00:00:00,2.129,2.678
2020-04-11 00:00:00,2.353,2.946
2020-04-12 00:00:00,2.293,2.856
2020-04-13 00:00:00,3.024,3.749
2020-04-14 00:00:00,4.052,4.999
2020-04-15 00:00:00,3.49,4.285
2020-04-16 00:00:00,2.557,3.124
2020-04-17 00:00:00,2.569,3.124
2020-04-18 00:00:00,2.581,3.124
2020-04-19 00:00:00,2.668,3.213
2020-04-20 00:00:00,1.936,2.321
2020-04-21 00:00:00,2.992,3.571
2020-04-22 00:00:00,3.832,4.552
2020-04-23 00:00:00,3.85,4.552
2020-04-24 00:00:00,5.082,5.981
2020-04-25 00:00:00,4.572,5.356
2020-04-26 00:00:00,3.904,4.552
2020-04-27 00:00:00,4.152,4.82
2020-04-28 00:00:00,4.463,5.356
2020-04-29 00:00:00,3.162,3.928
2020-04-30 00:00:00,3.399,4.374
2020-05-01 00:00:00,3.512,4.689
2020-05-02 00:00:00,2.296,3.185
2020-05-03 00:00:00,2.942,4.246
2020-05-04 00:00:00,3.763,5.662
2020-05-05 00:00:00,3.153,4.954
2020-05-06 00:00:00,2.595,5.662
2020-05-07 00:00:00,3.031,6.369
2020-05-08 00:00:00,3.274,6.635
2020-05-09 00:00:00,2.848,5.573
2020-05-10 00:00:00,2.291,4.335
2020-05-11 00:00:00,1.933,3.539
2020-05-12 00:00:00,1.147,2.035
2020-05-13 00:00:00,2.006,3.45
2020-05-14 00:00:00,2.013,3.362
2020-05-15 00:00:00,2.672,4.335
2020-05-16 00:00:00,2.804,4.423
2020-05-17 00:00:00,1.672,2.565
2020-05-18 00:00:00,1.658,2.477
2020-05-19 00:00:00,2.43,3.539
2020-05-20 00:00:00,2.866,4.069
2020-05-21 00:00:00,3.576,4.954
2020-05-22 00:00:00,3.704,5.043
2020-05-23 00:00:00,4.016,5.75
2020-05-24 00:00:00,4.219,6.369
2020-05-25 00:00:00,4.155,6.635
2020-05-26 00:00:00,3.915,6.635
2020-05-27 00:00:00,3.921,7.077
2020-05-28 00:00:00,3.391,6.546
2020-05-29 00:00:00,2.472,5.131
2020-05-30 00:00:00,1.443,3.008
2020-05-31 00:00:00,1.691,3.539
2020-06-01 00:00:00,2.122,4.46
2020-06-02 00:00:00,3.17,6.69
2020-06-03 00:00:00,3.452,7.314
2020-06-04 00:00:00,3.353,7.136
2020-06-05 00:00:00,2.087,4.46
2020-06-06 00:00:00,1.87,4.014
2020-06-07 00:00:00,2.067,4.371
2020-06-08 00:00:00,2.953,6.154
2020-06-09 00:00:00,3.56,7.314
2020-06-10 00:00:00,3.566,7.225
2020-06-11 00:00:00,3.125,6.244
2020-06-12 00:00:00,1.946,3.835
2020-06-13 00:00:00,1.789,3.479
2020-06-14 00:00:00,2.697,5.173
2020-06-15 00:00:00,2.496,4.906
2020-06-16 00:00:00,2.523,5.084
2020-06-17 00:00:00,3.409,7.046
2020-06-18 00:00:00,3.32,7.046
2020-06-19 00:00:00,2.987,6.511
2020-06-20 00:00:00,2.826,6.333
2020-06-21 00:00:00,2.63,6.065
2020-06-22 00:00:00,2.705,6.422
2020-06-23 00:00:00,2.041,6.511
2020-06-24 00:00:00,2.025,6.333
2020-06-25 00:00:00,2.036,6.244
2020-06-26 00:00:00,2.283,6.868
2020-06-27 00:00:00,2.235,6.6
2020-06-28 00:00:00,1.723,4.995
2020-06-29 00:00:00,2.13,6.065
2020-06-30 00:00:00,2.328,6.511
2020-07-01 00:00:00,2.143,6.03
2020-07-02 00:00:00,2.038,5.771
2020-07-03 00:00:00,2.117,6.03
2020-07-04 00:00:00,2.705,7.753
2020-07-05 00:00:00,2.718,7.839
2020-07-06 00:00:00,2.167,6.288
2020-07-07 00:00:00,2.183,6.374
2020-07-08 00:00:00,2.315,6.805
2020-07-09 00:00:00,2.592,7.063
2020-07-10 00:00:00,2.748,7.58
2020-07-11 00:00:00,2.9,8.097
2020-07-12 00:00:00,2.925,8.269
2020-07-13 00:00:00,2.287,6.547
2020-07-14 00:00:00,2.021,5.858
2020-07-15 00:00:00,1.995,5.858
2020-07-16 00:00:00,2.085,6.202
2020-07-17 00:00:00,2.109,6.116
2020-07-18 00:00:00,2.162,6.116
2020-07-19 00:00:00,2.122,5.858
2020-07-20 00:00:00,2.045,5.513
2020-07-21 00:00:00,2.092,5.513
2020-07-22 00:00:00,2.14,5.513
2020-07-23 00:00:00,2.188,5.513
2020-07-24 00:00:00,2.27,5.599
2020-07-25 00:00:00,2.017,6.288
2020-07-26 00:00:00,1.912,6.116
2020-07-27 00:00:00,1.94,6.374
2020-07-28 00:00:00,1.913,6.46
2020-07-29 00:00:00,1.859,6.46
2020-07-30 00:00:00,1.758,6.288
2020-07-31 00:00:00,1.753,6.46
2020-08-01 00:00:00,1.763,6.701
2020-08-02 00:00:00,1.809,6.785
2020-08-03 00:00:00,1.765,6.533
2020-08-04 00:00:00,1.513,5.528
2020-08-05 00:00:00,0.975,3.518
2020-08-06 00:00:00,1.294,4.607
2020-08-07 00:00:00,1.477,5.193
2020-08-08 00:00:00,1.64,5.696
2020-08-09 00:00:00,1.782,6.115
2020-08-10 00:00:00,1.739,5.947
2020-08-11 00:00:00,1.669,5.612
2020-08-12 00:00:00,1.799,5.947
2020-08-13 00:00:00,2.138,6.952
2020-08-14 00:00:00,2.147,6.869
2020-08-15 00:00:00,2.076,6.533
2020-08-16 00:00:00,2.271,7.036
2020-08-17 00:00:00,2.554,7.79
2020-08-18 00:00:00,2.457,8.041
2020-08-19 00:00:00,2.253,7.957
2020-08-20 00:00:00,1.747,6.701
2020-08-21 00:00:00,1.498,6.282
2020-08-22 00:00:00,1.303,6.031
2020-08-23 00:00:00,1.233,6.366
2020-08-24 00:00:00,0.961,5.612
2020-08-25 00:00:00,0.661,4.439
2020-08-26 00:00:00,0.68,4.858
2020-08-27 00:00:00,0.676,5.026
2020-08-28 00:00:00,0.703,5.445
2020-08-29 00:00:00,0.715,5.78
2020-08-30 00:00:00,0.674,5.696
2020-08-31 00:00:00,0.633,5.612
2020-09-01 00:00:00,0.515,4.794
2020-09-02 00:00:00,0.454,4.458
2020-09-03 00:00:00,0.516,5.467
2020-09-04 00:00:00,0.547,6.308
2020-09-05 00:00:00,0.545,6.897
2020-09-06 00:00:00,0.433,6.056
2020-09-07 00:00:00,0.51,7.99
2020-09-08 00:00:00,0.374,6.645
2020-09-09 00:00:00,0.204,4.205
2020-09-10 00:00:00,0.176,4.29
2020-09-11 00:00:00,0.151,4.542
2020-09-12 00:00:00,0.446,5.299
2020-09-13 00:00:00,0.693,5.131
2020-09-14 00:00:00,0.86,4.626
2020-09-15 00:00:00,1.155,4.878
2020-09-16 00:00:00,1.331,4.626
2020-09-17 00:00:00,1.367,4.037
2020-09-18 00:00:00,1.31,3.364
2020-09-19 00:00:00,1.348,3.869
2020-09-20 00:00:00,1.55,5.046
2020-09-21 00:00:00,1.387,5.215
2020-09-22 00:00:00,1.116,4.962
2020-09-23 00:00:00,0.866,4.71
2020-09-24 00:00:00,0.516,3.617
2020-09-25 00:00:00,0.401,3.953
2020-09-26 00:00:00,0.31,5.131
2020-09-27 00:00:00,0.278,5.215
2020-09-28 00:00:00,0.274,5.215
2020-09-29 00:00:00,0.235,4.542
2020-09-30 00:00:00,0.299,5.888
2020-10-01 00:00:00,0.267,5.341
2020-10-02 00:00:00,0.262,5.341
2020-10-03 00:00:00,0.303,6.288
2020-10-04 00:00:00,0.265,5.599
2020-10-05 00:00:00,0.188,3.876
2020-10-06 00:00:00,0.189,3.79
2020-10-07 00:00:00,0.234,4.565
2020-10-08 00:00:00,0.163,3.101
2020-10-09 00:00:00,0.144,2.67
2020-10-10 00:00:00,0.128,2.326
2020-10-11 00:00:00,0.2,3.532
2020-10-12 00:00:00,0.284,4.91
2020-10-13 00:00:00,0.226,4.996
2020-10-14 00:00:00,0.256,5.513
2020-10-15 00:00:00,0.274,5.771
2020-10-16 00:00:00,0.242,4.996
2020-10-17 00:00:00,0.201,4.049
2020-10-18 00:00:00,0.157,3.101
2020-10-19 00:00:00,0.174,3.359
2020-10-20 00:00:00,0.182,3.446
2020-10-21 00:00:00,0.178,3.532
2020-10-22 00:00:00,0.149,3.101
2020-10-23 00:00:00,0.11,2.412
2020-10-24 00:00:00,0.093,2.154
2020-10-25 00:00:00,0.08,1.981
2020-10-26 00:00:00,0.184,4.824
2020-10-27 00:00:00,0.126,3.532
2020-10-28 00:00:00,0.083,2.498
2020-10-29 00:00:00,0.121,2.498
2020-10-30 00:00:00,0.132,2.757
2020-10-31 00:00:00,0.148,3.101
2020-11-01 00:00:00,0.168,3.557
2020-11-02 00:00:00,0.155,3.296
2020-11-03 00:00:00,0.178,3.817
2020-11-04 00:00:00,0.157,3.383
2020-11-05 00:00:00,0.155,3.383
2020-11-06 00:00:00,0.087,1.301
2020-11-07 00:00:00,0.13,1.475
2020-11-08 00:00:00,0.161,1.475
2020-11-09 00:00:00,0.204,1.561
2020-11-10 00:00:00,0.289,1.908
2020-11-11 00:00:00,0.314,1.822
2020-11-12 00:00:00,0.353,1.822
2020-11-13 00:00:00,0.373,1.735
2020-11-14 00:00:00,0.368,1.561
2020-11-15 00:00:00,0.441,2.082
2020-11-16 00:00:00,0.57,3.036
2020-11-17 00:00:00,0.426,2.602
2020-11-18 00:00:00,0.109,0.781
2020-11-19 00:00:00,0.181,1.561
2020-11-20 00:00:00,0.199,2.169
2020-11-21 00:00:00,0.193,2.863
2020-11-22 00:00:00,0.161,2.429
2020-11-23 00:00:00,0.101,1.561
2020-11-24 00:00:00,0.105,1.648
2020-11-25 00:00:00,0.108,1.735
2020-11-26 00:00:00,0.159,2.602
2020-11-27 00:00:00,0.12,1.995
2020-11-28 00:00:00,0.112,1.908
2020-11-29 00:00:00,0.115,1.995
2020-11-30 00:00:00,0.201,2.689
2020-12-01 00:00:00,0.165,2.375
2020-12-02 00:00:00,0.146,2.284
2020-12-03 00:00:00,0.113,1.918
2020-12-04 00:00:00,0.117,2.192
2020-12-05 00:00:00,0.071,1.462
2020-12-06 00:00:00,0.075,1.736
2020-12-07 00:00:00,0.138,3.654
2020-12-08 00:00:00,0.223,3.197
2020-12-09 00:00:00,0.233,2.284
2020-12-10 00:00:00,0.33,2.466
2020-12-11 00:00:00,0.243,1.462
2020-12-12 00:00:00,0.145,0.731
2020-12-13 00:00:00,0.126,0.548
2020-12-14 00:00:00,0.311,1.188
2020-12-15 00:00:00,0.457,1.553
2020-12-16 00:00:00,0.065,1.188
2020-12-17 00:00:00,0.042,0.731
2020-12-18 00:00:00,0.093,1.553
2020-12-19 00:00:00,0.124,2.01
2020-12-20 00:00:00,0.146,2.284
2020-12-21 00:00:00,0.176,2.649
2020-12-22 00:00:00,0.106,1.553
2020-12-23 00:00:00,0.168,2.375
2020-12-24 00:00:00,0.21,2.466
2020-12-25 00:00:00,0.228,2.284
2020-12-26 00:00:00,0.115,1.005
2020-12-27 00:00:00,0.129,1.005
2020-12-28 00:00:00,0.105,0.731
2020-12-29 00:00:00,0.274,1.736
2020-12-30 00:00:00,0.236,1.37
2020-12-31 00:00:00,0.188,1.005
2021-01-01 00:00:00,0.246,0
2021-01-02 00:00:00,0.23,3.3
2021-01-03 00:00:00,0.289,0
2021-01-04 00:00:00,0.348,3.1
2021-01-05 00:00:00,0.543,0
2021-01-06 00:00:00,0.674,0
2021-01-07 00:00:00,1.052,0
2021-01-08 00:00:00,0.846,0
2021-01-09 00:00:00,1.092,0
2021-01-10 00:00:00,0.748,0
2021-01-11 00:00:00,0.592,0
2021-01-12 00:00:00,0.451,0
2021-01-13 00:00:00,0.46,0
2021-01-14 00:00:00,0.545,0
2021-01-15 00:00:00,0.415,0
2021-01-16 00:00:00,0.149,0
2021-01-17 00:00:00,0.267,0
2021-01-18 00:00:00,0.372,0
2021-01-19 00:00:00,0.436,0
2021-01-20 00:00:00,0.281,0
2021-01-21 00:00:00,0.237,0
2021-01-22 00:00:00,0.109,6.2
2021-01-23 00:00:00,0.15,0
2021-01-24 00:00:00,0.097,4.6
2021-01-25 00:00:00,0.179,0.4
2021-01-26 00:00:00,0.174,21
2021-01-27 00:00:00,0.14,37.4
2021-01-28 00:00:00,0.117,42.3
2021-01-29 00:00:00,0.183,0
2021-01-30 00:00:00,0.301,0
2021-01-31 00:00:00,0.427,0
2021-02-01 00:00:00,0.439,0.6
2021-02-02 00:00:00,0.166,4.5
2021-02-03 00:00:00,0.282,0
2021-02-04 00:00:00,0.413,0
2021-02-05 00:00:00,0.677,0
2021-02-06 00:00:00,0.798,0
2021-02-07 00:00:00,0.744,0
2021-02-08 00:00:00,0.761,0
2021-02-09 00:00:00,0.536,0
2021-02-10 00:00:00,0.565,0
2021-02-11 00:00:00,0.462,10.6
2021-02-12 00:00:00,0.485,1
2021-02-13 00:00:00,0.435,3.6
2021-02-14 00:00:00,0.492,1.6
2021-02-15 00:00:00,0.276,0.9
2021-02-16 00:00:00,0.657,0
2021-02-17 00:00:00,1.153,0
2021-02-18 00:00:00,1.081,0
2021-02-19 00:00:00,0.561,1.5
2021-02-20 00:00:00,0.66,0.3
2021-02-21 00:00:00,0.833,1.7
2021-02-22 00:00:00,0.97,1.6
2021-02-23 00:00:00,1.23,0
2021-02-24 00:00:00,0.698,0
2021-02-25 00:00:00,0.685,0
2021-02-26 00:00:00,0.655,0
2021-02-27 00:00:00,1.118,0
2021-02-28 00:00:00,1.074,0
2021-03-01 00:00:00,1.206,0
2021-03-02 00:00:00,0.785,0
2021-03-03 00:00:00,0.79,0
2021-03-04 00:00:00,0.822,0
2021-03-05 00:00:00,0.887,7.5
2021-03-06 00:00:00,1.112,0
2021-03-07 00:00:00,1.309,0
2021-03-08 00:00:00,1.035,0
2021-03-09 00:00:00,0.818,9.4
2021-03-10 00:00:00,0.656,11.8
2021-03-11 00:00:00,0.848,1.2
2021-03-12 00:00:00,1.379,0
2021-03-13 00:00:00,1.216,0
2021-03-14 00:00:00,0.587,10.7
2021-03-15 00:00:00,0.591,2.4
2021-03-16 00:00:00,1.14,0
2021-03-17 00:00:00,1.047,0
2021-03-18 00:00:00,0.803,15.5
2021-03-19 00:00:00,0.757,0.3
2021-03-20 00:00:00,1.219,0
2021-03-21 00:00:00,1.685,0
2021-03-22 00:00:00,1.425,0
2021-03-23 00:00:00,1.852,0
