ID_num,Date,Time,Datetime_start,Datetime_end,Location,Bulk,Type,dO18,dD,Flag
BO21_0147,2/2/2021,10:00,2/2/2021 10:00:00,nan,NDC Out,0,NDC Out,-8.25,-53.40,0
BO21_0148,2/2/2021,5:00,2/2/2021 5:00:00,nan,NDC Out,0,NDC Out,-8.29,-54.07,0
BO21_0149,2/2/2021,7:00,2/2/2021 7:00:00,nan,NDC Out,0,NDC Out,-8.20,-53.33,0
BO21_0150,2/2/2021,8:00,2/2/2021 8:00:00,nan,NDC Out,0,NDC Out,-8.21,-53.49,0
BO21_0151,2/2/2021,0:00,2/2/2021 0:00:00,nan,NDC Out,0,NDC Out,-8.27,-54.50,0
BO21_0152,2/2/2021,14:00,2/2/2021 14:00:00,nan,NDC Out,0,NDC Out,-8.30,-53.45,0
BO21_0153,2/2/2021,12:00,2/2/2021 12:00:00,nan,SDC Out,0,SDC Out,-7.98,-51.02,0
BO21_0154,2/2/2021,8:00,2/2/2021 8:00:00,nan,SDC Out,0,SDC Out,-7.60,-49.60,0
BO21_0155,2/2/2021,14:00,2/2/2021 14:00:00,nan,SDC Out,0,SDC Out,-7.93,-50.68,0
BO21_0169,2/2/2021,16:00,2/2/2021 16:00:00,nan,NDC Out,0,NDC Out,-8.19,-53.32,0
BO21_0170,2/2/2021,20:00,2/2/2021 20:00:00,nan,NDC Out,0,NDC Out,-8.01,-52.46,0
BO21_0173,2/2/2021,0:00,2/2/2021 0:00:00,nan,N1 PIE,0,GW,-7.09,-44.69,0
BO21_0174,2/2/2021,0,2/2/2021,nan,S1 PIE ,0,GW,-8.39,-54.13,1
BO21_0301,2/1/2021 0:00,0:00,2/1/2021 0:00:00,2/2/2021 0:00,Precip,1,Precip,-7.10,-39.88,0
BO21_0167,2/3/2021,10:00,2/3/2021 10:00:00,nan,SDC Out,0,SDC Out,-7.69,-50.62,0
BO21_0171,2/3/2021,8:00,2/3/2021 8:00:00,nan,NDC Out,0,NDC Out,-7.82,-52.22,0
BO21_0163,2/4/2021,10:00,2/4/2021 10:00:00,nan,SDC Out,0,SDC Out,-7.88,-50.31,0
BO21_0164,2/4/2021,12:50,2/4/2021 12:50:00,nan,Rip Well,0,GW,-8.15,-52.63,0
BO21_0165,2/4/2021,14:00,2/4/2021 14:00:00,nan,NDC Up,0,NDC Out,-8.00,-52.69,0
BO21_0168,2/4/2021,10:00,2/4/2021 10:00:00,nan,SDC Out,0,SDC Out,-7.56,-50.14,0
BO21_0172,2/4/2021,12:00,2/4/2021 12:00:00,nan,NDC Out,0,NDC Out,-7.67,-51.29,0
BO21_0324,2/4/2021,0,2/4/2021,nan,Precip,1,Precip,-7.42,-44.06,1
BO21_0325,2/4/2021,0,2/4/2021,nan,N2 Lysimeter 40,0,Lysimeter,-10.35,-69.33,1
BO21_0326,2/4/2021,0,2/4/2021,nan,S3 Lysimeter 40,0,Lysimeter,-8.96,-60.68,1
BO21_0327,2/4/2021,0,2/4/2021,nan,S1 Lysimeter 40,0,Lysimeter,-8.51,-57.89,1
BO21_0328,2/4/2021,0,2/4/2021,nan,S2 Lysimeter 40,0,Lysimeter,-11.44,-76.94,1
BO21_0391,2/4/2021,0,2/4/2021,nan,N1 PIE,0,GW,-7.13,-47.59,1
BO21_0392,2/4/2021,0,2/4/2021,nan,S1 PIE ,0,GW,-8.58,-59.05,1
