"Time","BORR Arbor Relay Air RelativeHumidity rhmax %","BORR Arbor Relay Air RelativeHumidity rhmin %","BORR Arbor Relay Air Speed wsmsuwvt m/s","BORR Arbor Relay Air Temperature airtcavg degC","BORR Arbor Relay Air Temperature winddirsduwvt °","BORR Arbor Relay Rainfall mm","BORR Arbor Relay Solar Radiation Average W/m^2"
"2021-10-01 00:00:00",25.4,24,1.05,20.33,7.887,0,0
"2021-10-01 00:10:00",24.3,23.4,1.105,20.32,8.18,0,0
"2021-10-01 00:20:00",24.8,23.5,1.038,20.26,8.26,0,0
"2021-10-01 00:30:00",25,24.2,1.078,20.15,11.39,0,0
"2021-10-01 00:40:00",25.3,24.3,0.95,20.15,14.64,0,0
"2021-10-01 00:50:00",26.4,25.3,1.303,19.68,3.558,0,0
"2021-10-01 01:00:00",26.5,25.2,1.147,19.61,7.818,0,0
"2021-10-01 01:10:00",26.5,25.5,1.064,19.72,4.531,0,0
"2021-10-01 01:20:00",27.1,25.7,1.005,19.69,8.4,0,0
"2021-10-01 01:30:00",28.2,26.4,0.793,19.7,6.261,0,0
"2021-10-01 01:40:00",29.6,27.2,0.933,19.59,16.67,0,0
"2021-10-01 01:50:00",27.8,26.4,1.387,19.71,6.429,0,0
"2021-10-01 02:00:00",28.8,27.2,1.387,19.84,5.69,0,0
"2021-10-01 02:10:00",28.7,24.2,1.754,19.62,8.22,0,0
"2021-10-01 02:20:00",25.3,24.1,1.689,19.91,6.43,0,0
"2021-10-01 02:30:00",24.3,23,1.582,20.37,5.593,0,0
"2021-10-01 02:40:00",24.6,23.6,1.41,20.27,3.617,0,0
"2021-10-01 02:50:00",24.4,23.9,1.216,20.06,3.611,0,0
"2021-10-01 03:00:00",24.4,23.5,0.951,19.94,6.14,0,0
"2021-10-01 03:10:00",24.3,23.5,1.189,19.79,8.33,0,0
"2021-10-01 03:20:00",25.9,23.9,1.49,19.22,9.26,0,0
"2021-10-01 03:30:00",26.1,24.1,1.417,18.98,7.024,0,0
"2021-10-01 03:40:00",24.3,23.5,1.637,19.57,4.632,0,0
"2021-10-01 03:50:00",24.4,23.5,1.432,19.73,8.08,0,0
"2021-10-01 04:00:00",24.4,22.9,1.641,19.82,6.707,0,0
"2021-10-01 04:10:00",24.6,23.4,1.57,19.75,8.39,0,0
"2021-10-01 04:20:00",24.6,23.4,1.569,19.7,5.68,0,0
"2021-10-01 04:30:00",24.6,23.5,1.573,19.65,9.5,0,0
"2021-10-01 04:40:00",24.8,23.5,1.334,19.44,9.18,0,0
"2021-10-01 04:50:00",25.1,24,1.294,19.21,14.9,0,0
"2021-10-01 05:00:00",25.1,23.8,1.41,18.95,11.03,0,0
"2021-10-01 05:10:00",25.1,23.6,1.107,19.11,13.44,0,0
"2021-10-01 05:20:00",25.2,24.1,1.092,18.86,14.08,0,0
"2021-10-01 05:30:00",24.7,23.4,1.07,19.28,9.04,0,0
"2021-10-01 05:40:00",24.7,23.4,1.084,19.28,14.49,0,0
"2021-10-01 05:50:00",24.4,23.3,1.272,19.22,11.99,0,0
"2021-10-01 06:00:00",24.3,23,1.28,19.48,7.703,0,0
"2021-10-01 06:10:00",23.4,22.1,1.335,19.76,11.52,0,2
"2021-10-01 06:20:00",23.6,22.2,1.298,19.72,17.3,0,5
"2021-10-01 06:30:00",24.4,22.9,1.071,19.38,11.29,0,8
"2021-10-01 06:40:00",24.6,23.9,1.008,19.19,14.23,0,10
"2021-10-01 06:50:00",24.9,23.8,1.018,19.39,13.23,0,12
"2021-10-01 07:00:00",25.3,24.1,0.977,19.36,16.41,0,12
"2021-10-01 07:10:00",25.6,24.4,0.871,19.37,17.33,0,14
"2021-10-01 07:20:00",25.4,24.3,0.915,19.6,19.34,0,15
"2021-10-01 07:30:00",25.5,23.2,0.756,19.79,21.71,0,17
"2021-10-01 07:40:00",24.5,23,0.65,20.02,24.45,0,43
"2021-10-01 07:50:00",24.4,23,0.635,20.33,35.12,0,152
"2021-10-01 08:00:00",24.7,23.1,0.805,20.96,26.5,0,266
"2021-10-01 08:10:00",25.5,23.7,0.318,21.1,45.39,0,284
"2021-10-01 08:20:00",24.7,21.9,0.075,21.8,75.27,0,217
"2021-10-01 08:30:00",22.9,19.8,0.203,22.58,62.16,0,36
"2021-10-01 08:40:00",21.2,19.8,0.46,22.64,50.26,0,157
"2021-10-01 08:50:00",20.8,19.4,1.079,23.09,22.19,0,127
"2021-10-01 09:00:00",21.6,19.8,1.428,22.83,14.56,0,333
"2021-10-01 09:10:00",21.9,19.6,1.799,23.38,25.43,0,162
"2021-10-01 09:20:00",22.4,20.4,2.228,23.64,14.66,0,39
"2021-10-01 09:30:00",22.3,20.5,1.69,23.97,24.22,0,50
"2021-10-01 09:40:00",21.5,19.9,1.994,24.01,18.89,0,81
"2021-10-01 09:50:00",21.4,19.6,1.809,24.21,24.98,0,62
"2021-10-01 10:00:00",21.3,18.7,1.89,24.7,16.88,0,45
"2021-10-01 10:10:00",21.3,19.2,1.388,24.53,35.98,0,79
"2021-10-01 10:20:00",21.1,18.6,2.187,25.09,17.99,0,51
"2021-10-01 10:30:00",21.3,18.3,3.327,25.07,17.47,0,45
"2021-10-01 10:40:00",22.4,18.8,3.553,24.78,13.76,0,53
"2021-10-01 10:50:00",23.4,19.8,3.278,24.95,15.96,0,48
"2021-10-01 11:00:00",23.5,20.7,3.457,24.79,16.44,0,52
"2021-10-01 11:10:00",23.4,20.1,3.4,24.84,17.28,0,59
"2021-10-01 11:20:00",23.7,20.8,2.795,25.17,22.21,0,52
"2021-10-01 11:30:00",23.6,19.5,2.887,25.37,20.18,0,89
"2021-10-01 11:40:00",24.5,20.8,2.759,25.39,21.54,0,243
"2021-10-01 11:50:00",24.9,21.2,3.158,25.14,20,0,690
"2021-10-01 12:00:00",25.1,21.4,3.616,25.28,18.61,0,739
"2021-10-01 12:10:00",25.3,22,3.333,25.32,17.18,0,740
"2021-10-01 12:20:00",25,21.2,3.351,25.69,19.47,0,740
"2021-10-01 12:30:00",25.1,22,3.214,25.5,17.51,0,738
"2021-10-01 12:40:00",24.6,21.1,3.102,25.8,18.51,0,734
"2021-10-01 12:50:00",24.6,20.1,3.112,26.43,18.31,0,728
"2021-10-01 13:00:00",24.7,20.4,2.87,26.04,18.01,0,720
"2021-10-01 13:10:00",24.6,20.3,2.873,26.3,20.52,0,711
"2021-10-01 13:20:00",23.9,20.4,2.961,26.29,19.6,0,700
"2021-10-01 13:30:00",23.8,19.8,3.216,26.46,23.77,0,689
"2021-10-01 13:40:00",23.3,19.3,2.919,26.7,21.75,0,674
"2021-10-01 13:50:00",22,19.5,2.739,26.9,21.9,0,659
"2021-10-01 14:00:00",22.1,18.9,3.057,26.82,22.04,0,642
"2021-10-01 14:10:00",21.6,18.8,2.567,27.38,22.34,0,624
"2021-10-01 14:20:00",22.2,18.7,2.95,27.28,20.58,0,602
"2021-10-01 14:30:00",23.1,19.7,2.628,27.09,23.47,0,581
"2021-10-01 14:40:00",22.5,19.9,3.3,27.11,19.22,0,558
"2021-10-01 14:50:00",22.6,20,3.149,27.06,16.39,0,534
"2021-10-01 15:00:00",21.3,18.5,2.318,27.33,29.27,0,486
"2021-10-01 15:10:00",20.9,18.5,2.409,27.42,19.8,0,201
"2021-10-01 15:20:00",23,19,2.884,27.41,20.91,0,151
"2021-10-01 15:30:00",23.4,19.4,3.615,27.34,16.43,0,114
"2021-10-01 15:40:00",21.7,19.4,3.093,27.12,13.93,0,112
"2021-10-01 15:50:00",22.4,20.1,1.627,26.86,42.22,0,97
"2021-10-01 16:00:00",22.5,20.7,1.709,26.38,36.46,0,142
"2021-10-01 16:10:00",22.3,19.6,1.697,26.78,34.43,0,115
"2021-10-01 16:20:00",22.6,20.8,1.543,26.5,32.05,0,113
"2021-10-01 16:30:00",23.4,21,1.516,26.34,30.92,0,82
"2021-10-01 16:40:00",24,22.1,2.326,26.02,21.88,0,67
"2021-10-01 16:50:00",24.4,22.4,1.802,25.69,22.68,0,68
"2021-10-01 17:00:00",25,23.4,1.327,25.2,39.71,0,40
"2021-10-01 17:10:00",25.3,23.5,1.414,25.09,22.95,0,41
"2021-10-01 17:20:00",26.7,24.9,0.929,24.67,28.26,0,57
"2021-10-01 17:30:00",27.6,26.4,1.589,24.39,15.19,0,22
"2021-10-01 17:40:00",28,27.2,1.636,23.94,12.16,0,19
"2021-10-01 17:50:00",28.4,27.4,1.071,23.64,10.98,0,9
"2021-10-01 18:00:00",28.5,27.9,0.536,23.29,27.35,0,1
"2021-10-01 18:10:00",29.4,28.3,0.666,22.95,24.49,0,0
"2021-10-01 18:20:00",29.3,28.7,0.318,22.66,11.92,0,0
"2021-10-01 18:30:00",30,28.7,0.469,22.4,23.99,0,0
"2021-10-01 18:40:00",30.6,28.3,0.278,22.2,32.86,0,0
"2021-10-01 18:50:00",30.8,29.2,0.485,22,20.8,0,0
"2021-10-01 19:00:00",30.6,28.1,0.873,22.24,10.52,0,0
"2021-10-01 19:10:00",28.4,27,0.885,22.36,21.11,0,0
"2021-10-01 19:20:00",27.7,26.6,1.572,22.22,9.86,0,0
"2021-10-01 19:30:00",27.7,26.3,1.902,22.19,8.34,0,0
"2021-10-01 19:40:00",28.4,26.2,1.905,22.13,9.67,0,0
"2021-10-01 19:50:00",29.9,28.2,1.813,21.88,9.78,0,0
"2021-10-01 20:00:00",30.1,29.5,2.168,21.94,7.692,0,0
"2021-10-01 20:10:00",30.1,29.1,2.169,21.95,7.135,0,0
"2021-10-01 20:20:00",30.1,29.3,1.805,21.91,11.42,0,0
"2021-10-01 20:30:00",29.7,28.5,1.725,21.98,10.31,0,0
"2021-10-01 20:40:00",31.3,28.6,1.173,21.63,18.11,0,0
"2021-10-01 20:50:00",31.6,30.9,0.958,21.06,5.732,0,0
"2021-10-01 21:00:00",31.8,30.7,1.227,20.92,8.29,0,0
"2021-10-01 21:10:00",31.7,30.6,1.105,20.68,10.11,0,0
"2021-10-01 21:20:00",31.5,30.2,1.081,20.84,16.88,0,0
"2021-10-01 21:30:00",30.7,29.9,0.563,21.02,12.37,0,0
"2021-10-01 21:40:00",30.4,29.6,0.744,21.3,11.51,0,0
"2021-10-01 21:50:00",31.3,30.1,0.883,20.86,6.416,0,0
"2021-10-01 22:00:00",31.9,30.6,0.886,20.56,8.34,0,0
"2021-10-01 22:10:00",31.9,30.7,1.018,20.63,3.976,0,0
"2021-10-01 22:20:00",31.6,30.2,0.909,21.01,11.05,0,0
"2021-10-01 22:30:00",31.7,29.8,0.886,21.08,16.79,0,0
"2021-10-01 22:40:00",33,31.6,0.872,20.52,9.57,0,0
"2021-10-01 22:50:00",33.9,32.7,1.032,20.38,10.73,0,0
"2021-10-01 23:00:00",33.9,32.1,1.112,20.71,9.73,0,0
"2021-10-01 23:10:00",33.9,32.2,1.12,20.76,10.86,0,0
"2021-10-01 23:20:00",34.4,33.1,1.232,20.49,13.42,0,0
"2021-10-01 23:30:00",34.7,33.7,1.415,20.11,11.33,0,0
"2021-10-01 23:40:00",34.3,31.5,1.081,20.91,16.41,0,0
"2021-10-01 23:50:00",34.3,31.7,1.404,21.09,12.7,0,0
"2021-10-02 00:00:00",32.6,32,1.219,21.2,5.254,0,0
"2021-10-02 00:10:00",32.8,32.1,1.214,21.15,4.997,0,0
"2021-10-02 00:20:00",34.2,32.8,1.393,20.71,11.07,0,0
"2021-10-02 00:30:00",33.4,32.2,1.468,21.18,7.647,0,0
"2021-10-02 00:40:00",33,31,1.2,21.29,5.126,0,0
"2021-10-02 00:50:00",34.6,30.5,1.203,21.06,15.13,0,0
"2021-10-02 01:00:00",31.3,29.2,1.316,21.46,6.415,0,0
"2021-10-02 01:10:00",31.5,29.3,1.142,21.23,11.04,0,0
"2021-10-02 01:20:00",31.6,29.9,1.093,21.2,13.7,0,0
"2021-10-02 01:30:00",30.9,29.5,1.323,21.51,7.594,0,0
"2021-10-02 01:40:00",30.7,29,1.233,21.68,6.656,0,0
"2021-10-02 01:50:00",30.2,28.8,1.172,21.74,7.77,0,0
"2021-10-02 02:00:00",30,28.9,1.352,21.81,6.823,0,0
"2021-10-02 02:10:00",30.2,29.2,1.286,21.67,10.37,0,0
"2021-10-02 02:20:00",30.4,29,1.275,21.58,7.473,0,0
"2021-10-02 02:30:00",30.6,29.2,1.205,21.42,11.31,0,0
"2021-10-02 02:40:00",31.7,28.9,1.063,20.81,15.08,0,0
"2021-10-02 02:50:00",31,28.4,1.354,21.52,9.29,0,0
"2021-10-02 03:00:00",28.9,27.8,1.36,21.72,6.398,0,0
"2021-10-02 03:10:00",28.6,27.4,1.338,21.81,6.029,0,0
"2021-10-02 03:20:00",28.6,27.1,1.384,21.61,8.43,0,0
"2021-10-02 03:30:00",27.9,27,1.287,21.64,7.611,0,0
"2021-10-02 03:40:00",28.4,27.2,1.152,21.18,13.17,0,0
"2021-10-02 03:50:00",28.1,26.6,1.156,21.27,10.21,0,0
"2021-10-02 04:00:00",27.9,26.9,1.129,21.16,15.02,0,0
"2021-10-02 04:10:00",27.9,26.9,1.155,21.3,19.12,0,0
"2021-10-02 04:20:00",27.7,26.5,1.255,21.29,7.914,0,0
"2021-10-02 04:30:00",27.6,26.7,1.175,21.23,9.57,0,0
"2021-10-02 04:40:00",27.9,26.8,1.167,21.08,13.74,0,0
"2021-10-02 04:50:00",27.6,26.2,1.222,21.1,14.36,0,0
"2021-10-02 05:00:00",28.4,27,1.036,20.62,13.33,0,0
"2021-10-02 05:10:00",28.9,27.8,1.044,20.52,11.37,0,0
"2021-10-02 05:20:00",29.5,28.1,1.187,20.79,8.2,0,0
"2021-10-02 05:30:00",30.4,29,1.081,20.48,13.52,0,0
"2021-10-02 05:40:00",30.4,29.5,1.19,20.56,10.8,0,0
"2021-10-02 05:50:00",30.8,29.7,1.074,20.4,12.09,0,0
"2021-10-02 06:00:00",30.4,29.1,0.979,20.67,10.5,0,0
"2021-10-02 06:10:00",30.5,29.2,0.867,20.58,8.91,0,2
"2021-10-02 06:20:00",30.2,29,1.165,20.66,8.76,0,5
"2021-10-02 06:30:00",29.4,28.1,1.1,20.83,7.248,0,9
"2021-10-02 06:40:00",29.4,28.6,0.944,20.83,9.38,0,11
"2021-10-02 06:50:00",29.8,28.7,0.914,20.77,10.35,0,13
"2021-10-02 07:00:00",29.7,28.1,0.77,21.04,9.78,0,15
"2021-10-02 07:10:00",29.3,28,0.771,21.15,10.1,0,17
"2021-10-02 07:20:00",29.3,27.4,0.601,21.44,11.18,0,19
"2021-10-02 07:30:00",29.4,27.8,0.437,21.5,13.39,0,21
"2021-10-02 07:40:00",29.9,27.5,0.26,21.74,35.53,0,62
"2021-10-02 07:50:00",29.5,27.7,0.202,22.01,45.51,0,133
"2021-10-02 08:00:00",29.8,27.4,0.161,22.04,47.58,0,246
"2021-10-02 08:10:00",28.9,26.1,0.535,22.98,26.07,0,263
"2021-10-02 08:20:00",26.5,24.1,0.538,23.63,30,0,123
"2021-10-02 08:30:00",25.1,23.4,1.28,24.12,11.52,0,45
"2021-10-02 08:40:00",25.1,24.1,1.121,24.02,11.14,0,88
"2021-10-02 08:50:00",24.8,23,1.164,24.35,12.38,0,106
"2021-10-02 09:00:00",24.9,23.3,1.253,24.3,14.61,0,314
"2021-10-02 09:10:00",24.3,22.1,1.534,24.94,8,0,98
"2021-10-02 09:20:00",23.1,21.6,2.264,25.09,11.31,0,45
"2021-10-02 09:30:00",23.2,21.3,2.177,25.33,15.44,0,64
"2021-10-02 09:40:00",23.2,20.9,2.088,25.61,14.79,0,54
"2021-10-02 09:50:00",23.1,20.5,2.694,25.68,15.74,0,72
"2021-10-02 10:00:00",22.5,20.5,2.321,25.85,15.91,0,59
"2021-10-02 10:10:00",22.8,20.6,2.881,25.83,14.44,0,67
"2021-10-02 10:20:00",22.3,19.4,2.395,26.04,15.09,0,61
"2021-10-02 10:30:00",22.7,20.2,3.033,25.96,16.99,0,54
"2021-10-02 10:40:00",22.8,20.3,2.724,25.98,16.33,0,66
"2021-10-02 10:50:00",22.9,20.6,2.903,26.05,14.66,0,58
"2021-10-02 11:00:00",23,20.4,2.896,26.24,12.04,0,62
"2021-10-02 11:10:00",23.3,20.1,3.076,26.35,17.81,0,69
"2021-10-02 11:20:00",23.4,19.7,2.649,26.44,16.22,0,66
"2021-10-02 11:30:00",23.6,20,2.82,26.51,20.43,0,89
"2021-10-02 11:40:00",22.8,19.2,3.01,26.59,21.87,0,120
"2021-10-02 11:50:00",23,19.5,2.923,26.62,18.67,0,573
"2021-10-02 12:00:00",22.5,19.2,3.072,26.74,18.02,0,722
"2021-10-02 12:10:00",22.6,19.1,3.119,26.79,20.74,0,723
"2021-10-02 12:20:00",22.6,19.3,3.08,26.91,18.67,0,723
"2021-10-02 12:30:00",21.9,18.4,3.172,26.88,18.33,0,720
"2021-10-02 12:40:00",21.6,17.8,3.136,26.89,17.9,0,715
"2021-10-02 12:50:00",20.3,16.1,2.91,27.28,18.12,0,709
"2021-10-02 13:00:00",20,16.3,2.92,27.42,20.34,0,702
"2021-10-02 13:10:00",19.9,16.5,3.267,27.26,18.1,0,693
"2021-10-02 13:20:00",20.5,17.7,3.131,27.47,18.91,0,683
"2021-10-02 13:30:00",21,17.3,3.019,27.72,21.49,0,671
"2021-10-02 13:40:00",19.7,16.8,3.432,27.55,18.11,0,657
"2021-10-02 13:50:00",20.7,16.5,3.394,27.64,17.02,0,641
"2021-10-02 14:00:00",19.6,16.2,2.791,27.89,17.33,0,625
"2021-10-02 14:10:00",19.4,15.6,2.702,27.83,35.24,0,606
"2021-10-02 14:20:00",18.2,15.6,2.158,28.37,25.91,0,585
"2021-10-02 14:30:00",20.1,17.3,3.186,28.05,20.02,0,564
"2021-10-02 14:40:00",20.1,17.1,2.21,28.2,29.06,0,541
"2021-10-02 14:50:00",20.7,18.6,3.157,28.1,20.35,0,516
"2021-10-02 15:00:00",21.4,17.4,2.927,27.94,19.42,0,465
"2021-10-02 15:10:00",22.1,18.9,3.052,28.05,18.84,0,178
"2021-10-02 15:20:00",21.7,18.9,2.221,28.05,28.41,0,109
"2021-10-02 15:30:00",22.8,19.7,3.045,28.07,19.58,0,82
"2021-10-02 15:40:00",23.3,20.1,2.656,27.96,22.71,0,146
"2021-10-02 15:50:00",23.2,21,2.967,27.76,17.58,0,100
"2021-10-02 16:00:00",22.2,20.3,2.452,28,15.17,0,138
"2021-10-02 16:10:00",23.3,20.9,2.386,27.71,20.34,0,125
"2021-10-02 16:20:00",23.9,21.8,1.923,27.6,30.39,0,125
"2021-10-02 16:30:00",24.3,22.1,1.498,27.63,32.78,0,80
"2021-10-02 16:40:00",26.3,23.1,1.78,27.04,26.22,0,75
"2021-10-02 16:50:00",27.3,25.3,1.248,26.76,34.23,0,67
"2021-10-02 17:00:00",27.1,25.8,1.083,26.43,31.64,0,43
"2021-10-02 17:10:00",27.7,26,0.999,26.13,35.75,0,40
"2021-10-02 17:20:00",27.9,27.1,1.038,25.67,22.99,0,34
"2021-10-02 17:30:00",29.3,27.7,1.007,25.39,26.06,0,21
"2021-10-02 17:40:00",31.4,28.8,1.124,24.86,14.28,0,13
"2021-10-02 17:50:00",33.5,31.6,1.127,24.28,13.26,0,5
"2021-10-02 18:00:00",33.9,32.3,0.983,23.82,9.23,0,1
"2021-10-02 18:10:00",32.9,31.9,0.994,23.63,9.16,0,0
"2021-10-02 18:20:00",32.9,31.8,0.953,23.42,12.11,0,0
"2021-10-02 18:30:00",32.5,30.1,1.132,23.5,10.3,0,0
"2021-10-02 18:40:00",30.8,29.6,1.071,23.44,12.49,0,0
"2021-10-02 18:50:00",30.6,29.3,1.212,23.4,11.96,0,0
"2021-10-02 19:00:00",30.6,29,1.605,23.4,10.85,0,0
"2021-10-02 19:10:00",31.2,30.3,1.895,23.28,8.85,0,0
"2021-10-02 19:20:00",31.2,30.3,1.716,23.11,7.954,0,0
"2021-10-02 19:30:00",31.3,29.8,1.513,23.18,12.97,0,0
"2021-10-02 19:40:00",30.2,28.8,1.346,23.07,12.29,0,0
"2021-10-02 19:50:00",30.1,29,1.436,22.89,9.88,0,0
"2021-10-02 20:00:00",29.5,28.6,1.495,23.05,6.69,0,0
"2021-10-02 20:10:00",29.3,28.5,1.252,22.98,8.26,0,0
"2021-10-02 20:20:00",29.1,28.5,0.996,22.93,6.584,0,0
"2021-10-02 20:30:00",29.1,28.4,0.854,23,11.29,0,0
"2021-10-02 20:40:00",31.1,28.8,0.342,22.45,32.48,0,0
"2021-10-02 20:50:00",31.8,30,0.435,21.91,23.27,0,0
"2021-10-02 21:00:00",30.9,29.7,0.329,22.3,20.77,0,0
"2021-10-02 21:10:00",31.1,29.7,0.489,22.47,12.72,0,0
"2021-10-02 21:20:00",30.7,29.5,0.348,22.47,14.7,0,0
"2021-10-02 21:30:00",29.8,27.7,0.342,22.65,16.26,0,0
"2021-10-02 21:40:00",28.8,26.9,0.433,22.71,21.08,0,0
"2021-10-02 21:50:00",29.1,28,0.695,22.45,14.2,0,0
"2021-10-02 22:00:00",29.6,28.5,0.728,22.37,7.972,0,0
"2021-10-02 22:10:00",29.1,27.3,0.479,22.41,17.82,0,0
"2021-10-02 22:20:00",28.1,26.9,0.242,22.32,21.93,0,0
"2021-10-02 22:30:00",27.4,26.2,0.347,22.4,14.17,0,0
"2021-10-02 22:40:00",30.1,26.9,0.594,22.37,16.06,0,0
"2021-10-02 22:50:00",30.2,29.3,0.648,22.21,11.44,0,0
"2021-10-02 23:00:00",30.5,29.7,0.724,22.14,12.08,0,0
"2021-10-02 23:10:00",30.4,29.7,0.697,22.21,9.91,0,0
"2021-10-02 23:20:00",30.4,28.3,0.464,22.38,24.35,0,0
"2021-10-02 23:30:00",29.8,28.6,0.579,22.67,13.58,0,0
"2021-10-02 23:40:00",29.7,28.9,0.493,22.7,15.17,0,0
"2021-10-02 23:50:00",31,28.8,0.343,22.63,40.83,0,0
"2021-10-03 00:00:00",30.6,28.6,0.656,22.83,22.09,0,0
"2021-10-03 00:10:00",29.8,28.7,0.916,23.06,9.13,0,0
"2021-10-03 00:20:00",31.4,29.3,0.555,22.75,22.14,0,0
"2021-10-03 00:30:00",31.9,30.1,0.279,22.43,33.27,0,0
"2021-10-03 00:40:00",32.2,30.7,0.292,22.03,19.3,0,0
"2021-10-03 00:50:00",33.2,31.5,0.436,21.73,9.08,0,0
"2021-10-03 01:00:00",33.1,32.1,0.743,21.83,4.926,0,0
