ID_num,Date,Time,Datetime_start,Datetime_end,Location,Bulk,Type,dO18,dD,flag
BO21_0277,3/18/2021,12:00,3/18/2021 12:00:00,nan,NDC Out,0,NDC Out,-7.68,-48.21,0
BO21_0278,3/18/2021,17:00,3/18/2021 17:00:00,nan,NDC Out,0,NDC Out,-7.64,-47.77,0
BO21_0279,3/18/2021,19:00,3/18/2021 19:00:00,nan,NDC Out,0,NDC Out,-7.68,-47.98,0
BO21_0280,3/18/2021,21:00,3/18/2021 21:00:00,nan,NDC Out,0,NDC Out,-7.66,-47.87,0
BO21_0284,3/18/2021,12:00,3/18/2021 12:00:00,nan,SDC Out,0,SDC Out,-7.55,-47.86,0
BO21_0285,3/18/2021,20:00,3/18/2021 20:00:00,nan,SDC Out,0,SDC Out,-7.58,-47.73,0
BO21_0300,3/18/2021,15:00,3/18/2021 15:00:00,nan,S1 PIE ,0,GW,-8.47,-54.10,0
BO21_0354,3/18/2021,3:15,3/18/2021 3:15:00,nan,N1 PIE,0,GW,-7.05,-45.62,0
BO21_0281,3/19/2021,1:00,3/19/2021 1:00:00,nan,NDC Out,0,NDC Out,-7.63,-48.04,0
BO21_0282,3/19/2021,4:00,3/19/2021 4:00:00,nan,NDC Out,0,NDC Out,-5.14,-41.26,0
BO21_0283,3/19/2021,10:00,3/19/2021 10:00:00,nan,NDC Out,0,NDC Out,-7.80,-48.77,0
BO21_0286,3/19/2021,2:00,3/19/2021 2:00:00,nan,SDC Out,0,SDC Out,-7.63,-47.96,0
BO21_0287,3/19/2021,10:00,3/19/2021 10:00:00,nan,SDC Out,0,SDC Out,-7.45,-47.67,0
BO21_0302,3/18/2021,0,3/18/2021,3/19/2021 0:00,Precip,1,GW,-7.17,-42.36,1
BO21_0344,3/19/2021,0,3/19/2021,nan,S2 Lysimeter 40,0,Lysimeter,-9.77,-65.29,1
BO21_0345,3/19/2021,0,3/19/2021,nan,S3 Lysimeter 10,0,Lysimeter,NA,NA,1
BO21_0346,3/19/2021,0,3/19/2021,nan,S3 Lysimeter 40,0,Lysimeter,-9.15,-58.10,1
BO21_0347,3/19/2021,0,3/19/2021,nan,S1 Lysimeter 10,0,Lysimeter,-8.05,-52.83,1
BO21_0348,3/19/2021,0,3/19/2021,nan,S2 Lysimeter 10,0,Lysimeter,-9.20,-57.16,1
BO21_0349,3/19/2021,0,3/19/2021,nan,N2 Lysimeter 10,0,Lysimeter,-8.69,-52.97,1
BO21_0350,3/19/2021,0,3/19/2021,nan,N3 Lysimeter 10,0,Lysimeter,-7.70,-49.07,1
BO21_0351,3/19/2021,0,3/19/2021,nan,N2 Lysimeter 40,0,Lysimeter,-8.85,-54.08,1
BO21_0359,3/19/2021,0,3/19/2021,nan,N1 PIE,0,GW,-7.45,-46.85,1
BO21_0381,3/19/2021,12:00,3/19/2021 12:00:00,nan,NDC Out,0,NDC Out,-7.76,-48.80,0
BO21_0382,3/19/2021,18:00,3/19/2021 18:00:00,nan,NDC Out,0,NDC Out,-7.85,-48.99,0
BO21_0388,3/19/2021,12:00,3/19/2021 12:00:00,nan,SDC Out,0,SDC Out,-7.61,-48.26,0
BO21_0389,3/19/2021,20:00,3/19/2021 20:00:00,nan,SDC Out,0,SDC Out,-7.69,-48.49,0
BO21_0383,3/20/2021,0:00,3/20/2021 0:00:00,nan,NDC Out,0,NDC Out,-7.85,-49.10,0
BO21_0384,3/20/2021,12:00,3/20/2021 12:00:00,nan,NDC Out,0,NDC Out,-7.87,-49.18,0
BO21_0385,3/21/2021,6:00,3/21/2021 6:00:00,nan,NDC Out,0,NDC Out,-7.61,-48.50,0
BO21_0386,3/21/2021,15:00,3/21/2021 15:00:00,nan,NDC Out,0,NDC Out,-7.80,-49.38,0
BO21_0387,3/22/2021,9:00,3/22/2021 9:00:00,nan,NDC Out,0,NDC Out,-7.79,-49.17,0
BO21_0390,3/22/2021,11:00,3/22/2021 11:00:00,nan,SDC Out,0,SDC Out,-6.59,-45.33,0
