datetime,dO18,dD
10/25/2021 16:00:00,-6.57,-40.1
10/25/2021 22:00:00,-6.4,-39.7
10/26/2021 10:00:00,-6.53,-40.16
10/27/2021 4:00:00,-6.6,-40.69
10/31/2021 4:00:00,-6.76,-42.19
11/1/2021 15:00:00,-6.3,-41.29
11/5/2021 9:30:00,-6.92,-43.86
12/9/2021 16:30:00,-7.39,-46.86
12/13/2021 16:00:00,-7.52,-46.95
12/15/2021 12:45:00,-7.19,-44.47
12/15/2021 16:30:00,-7.24,-45.06
12/17/2021 16:00:00,-7.14,-44.44
12/31/2021 11:00:00,-7.46,-45.72
1/3/2022 0:00:00,-7.5,-45.98
1/4/2022 0:00:00,-7.35,-45.52
1/5/2022 0:00:00,-7.44,-45.89
1/8/2022 12:00:00,-7.48,-45.97
1/9/2022 12:00:00,-7.45,-45.88
1/10/2022 12:00:00,-7.46,-45.89
1/17/2022 0:00:00,-7.42,-45.83
1/21/2022 11:15:00,-7.46,-46.54
1/28/2022 12:00:00,-7.38,-45.82
2/2/2022 12:00:00,-7.35,-45.43
2/3/2022 10:00:00,-7.12,-45.18
2/9/2022 12:00:00,-7.22,-45.03
2/10/2022 12:00:00,-7.19,-44.99
2/11/2022 10:00:00,-7.17,-44.8
3/1/2022 12:30:00,-7.14,-44.89
3/23/2022 10:00:00,-7.13,-44.71
2/1/2022 12:00:00,-7.03,-44.31
2/19/2022 9:30:00,-6.95,-44.26
2/19/2022 9:30:00,-6.76,-42.64
3/28/2022 2:00:00,-7.1,-44.81
3/28/2022 6:00:00,-7.3,-46.38
3/28/2022 8:00:00,-7.22,-46.02
6/29/2022 0:00:00,-7.13,-45.42
6/29/2022 0:00:00,-7.28,-45.81
6/29/2022 0:00:00,-7.41,-46.76
12/6/2022 8:45:00,-7.77,-47.65
12/12/2022 9:45:00,-7.42,-45.5
12/27/2022 8:00:00,-7.84,-47.45
