Optimization Results - Kumaraswamy,,,,,,,,,,,
"NDC (varying a[0.05,1], b=1)",,,,,,"SDC (varying a[0.05,1], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
68,0.544,1.000,-7.333,132.519,0.461,68,0.898,1.000,-7.223,77.786,0.766
69,0.544,1.000,-7.333,132.519,0.461,69,0.898,1.000,-7.223,77.786,0.766
70,0.544,1.000,-7.333,132.519,0.461,70,0.898,1.000,-7.223,77.786,0.766
71,0.553,1.000,-7.344,130.235,0.461,71,0.927,1.000,-7.206,76.451,0.764
72,0.553,1.000,-7.344,130.235,0.461,72,0.927,1.000,-7.206,76.451,0.764
73,0.553,1.000,-7.344,130.235,0.461,73,0.927,1.000,-7.206,76.451,0.764
74,0.553,1.000,-7.344,130.235,0.461,74,0.927,1.000,-7.206,76.451,0.764
75,0.553,1.000,-7.343,130.361,0.461,75,0.938,1.000,-7.203,76.201,0.764
76,0.553,1.000,-7.343,130.361,0.461,76,0.938,1.000,-7.203,76.201,0.764
77,0.553,1.000,-7.343,130.361,0.461,77,0.938,1.000,-7.203,76.201,0.764
78,0.553,1.000,-7.343,130.361,0.461,78,0.938,1.000,-7.203,76.201,0.764
79,0.553,1.000,-7.344,130.305,0.461,79,0.934,1.000,-7.224,77.878,0.765
,,,,,,80,0.937,1.000,-7.208,76.596,0.764
,,,,,,81,0.938,1.000,-7.205,76.372,0.764
,,,,,,82,0.938,1.000,-7.205,76.372,0.764
,,,,,,83,0.938,1.000,-7.205,76.372,0.764
,,,,,,84,0.938,1.000,-7.205,76.372,0.764
,,,,,,85,0.938,1.000,-7.204,76.337,0.764
,,,,,,86,0.938,1.000,-7.204,76.337,0.764
,,,,,,87,0.938,1.000,-7.204,76.337,0.764
,,,,,,88,0.938,1.000,-7.204,76.337,0.764
,,,,,,89,0.944,1.000,-7.193,75.449,0.764
,,,,,,90,0.939,1.000,-7.203,76.249,0.764
,,,,,,91,0.938,1.000,-7.204,76.312,0.764
,,,,,,92,0.938,1.000,-7.204,76.312,0.764
,,,,,,93,0.938,1.000,-7.204,76.312,0.764
,,,,,,94,0.938,1.000,-7.204,76.312,0.764
,,,,,,95,0.945,1.000,-7.193,75.463,0.764
,,,,,,96,0.939,1.000,-7.203,76.227,0.764
,,,,,,97,0.938,1.000,-7.204,76.298,0.764
,,,,,,98,0.938,1.000,-7.204,76.298,0.764
,,,,,,99,0.938,1.000,-7.204,76.298,0.764
,,,,,,100,0.938,1.000,-7.204,76.298,0.764
,,,,,,101,0.947,1.000,-7.190,75.261,0.765
,,,,,,102,0.939,1.000,-7.203,76.194,0.764
,,,,,,103,0.938,1.000,-7.204,76.285,0.764
,,,,,,104,0.938,1.000,-7.204,76.285,0.764
,,,,,,105,0.938,1.000,-7.204,76.285,0.764
,,,,,,106,0.938,1.000,-7.204,76.285,0.764
,,,,,,107,0.946,1.000,-7.192,75.388,0.764
,,,,,,108,0.939,1.000,-7.203,76.195,0.764
,,,,,,109,0.938,1.000,-7.204,76.275,0.764
,,,,,,110,0.938,1.000,-7.204,76.283,0.764
