Optimization Results - Kumaraswamy,,,,,,,,,,,
"NDC (varying a[0.05,1], b=1)",,,,,,"SDC (varying a[0.05,1], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
12,1.000,1.000,-7.090,99.525,0.935,12,1.000,1.000,-7.090,99.628,1.046
13,1.000,1.000,-7.090,99.506,0.935,13,1.000,1.000,-7.090,99.612,1.045
14,1.000,1.000,-7.090,99.506,0.935,14,1.000,1.000,-7.090,99.612,1.045
15,1.000,1.000,-7.090,99.506,0.935,15,1.000,1.000,-7.090,99.612,1.045
16,1.000,1.000,-7.090,99.414,0.933,16,1.000,1.000,-7.090,99.533,1.044
17,1.000,1.000,-7.090,99.414,0.933,17,1.000,1.000,-7.090,99.533,1.044
18,1.000,1.000,-7.090,99.414,0.933,18,1.000,1.000,-7.090,99.533,1.044
19,1.000,1.000,-7.090,98.951,0.924,19,1.000,1.000,-7.090,99.135,1.038
20,1.000,1.000,-7.090,98.951,0.924,20,1.000,1.000,-7.090,99.135,1.038
21,1.000,1.000,-7.090,98.951,0.924,21,1.000,1.000,-7.090,99.135,1.038
22,1.000,1.000,-7.090,96.643,0.881,22,1.000,1.000,-7.090,97.146,1.006
23,1.000,1.000,-7.090,96.643,0.881,23,1.000,1.000,-7.090,97.146,1.006
24,1.000,1.000,-7.090,96.643,0.881,24,1.000,1.000,-7.090,97.146,1.006
25,1.000,1.000,-7.090,85.312,0.691,25,1.000,1.000,-7.090,87.215,0.852
26,1.000,1.000,-7.090,85.312,0.691,26,1.000,1.000,-7.090,87.215,0.852
27,1.000,1.000,-7.090,85.312,0.691,27,1.000,1.000,-7.090,87.215,0.852
28,1.418,1.000,-7.090,0.000,2.310,28,1.000,1.000,-7.090,40.874,0.893
29,1.055,1.000,-7.090,74.105,0.628,29,1.000,1.000,-7.090,65.343,0.636
30,1.055,1.000,-7.090,74.105,0.628,30,1.000,1.000,-7.090,65.343,0.636
31,1.055,1.000,-7.090,74.105,0.628,31,1.000,1.000,-7.090,65.343,0.636
32,1.000,1.000,-7.090,72.463,0.586,32,1.000,1.000,-7.090,62.113,0.635
33,1.000,1.000,-7.090,72.463,0.586,33,1.000,1.000,-7.090,62.113,0.635
34,1.000,1.000,-7.090,72.463,0.586,34,1.000,1.000,-7.090,62.113,0.635
35,1.000,1.000,-7.090,72.258,0.586,35,1.000,1.000,-7.090,63.524,0.634
36,1.000,1.000,-7.090,72.258,0.586,36,1.000,1.000,-7.090,63.524,0.634
37,1.000,1.000,-7.090,72.258,0.586,37,1.000,1.000,-7.090,63.524,0.634
,,,,,,38,1.000,1.000,-7.090,63.600,0.634
,,,,,,39,1.000,1.000,-7.090,63.600,0.634
,,,,,,40,1.000,1.000,-7.090,63.600,0.634
"NDC (a=1, varying b[1,10])",,,,,,"SDC (a=1, varying b[1,10])",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
1,1.000,5.000,-7.090,100.000,3.285,1,1.000,5.000,-7.090,100.000,2.850
2,1.000,5.000,-7.090,100.000,3.285,2,1.000,5.000,-7.090,100.000,2.850
3,1.000,5.000,-7.090,100.000,3.285,3,1.000,5.000,-7.090,100.000,2.850
4,1.000,4.873,-7.090,100.005,3.268,4,1.000,4.849,-7.090,100.005,2.826
5,1.000,4.873,-7.090,100.005,3.268,5,1.000,4.849,-7.090,100.005,2.826
6,1.000,4.873,-7.090,100.005,3.268,6,1.000,4.849,-7.090,100.005,2.826
7,1.000,4.151,-7.090,100.030,3.118,7,1.000,4.004,-7.090,100.030,2.626
8,1.000,4.151,-7.090,100.030,3.118,8,1.000,4.004,-7.090,100.030,2.626
9,1.000,4.151,-7.090,100.030,3.118,9,1.000,4.004,-7.090,100.030,2.626
10,1.000,1.000,-7.090,100.141,0.947,10,1.000,1.000,-7.090,100.122,1.053
11,1.000,1.000,-7.090,100.141,0.947,11,1.000,1.000,-7.090,100.122,1.053
12,1.000,1.000,-7.090,100.141,0.947,12,1.000,1.000,-7.090,100.122,1.053
13,1.000,3.845,-7.090,100.046,3.019,13,1.000,3.598,-7.090,100.047,2.478
14,1.000,2.114,-7.090,100.104,1.730,14,1.000,2.021,-7.090,100.092,1.340
15,1.000,1.440,-7.090,100.126,0.716,15,1.000,1.448,-7.090,100.109,0.743
16,1.000,1.440,-7.090,100.126,0.716,16,1.000,1.448,-7.090,100.109,0.743
17,1.000,1.440,-7.090,100.126,0.716,17,1.000,1.448,-7.090,100.109,0.743
18,1.000,1.288,-7.090,100.134,0.570,18,1.000,1.345,-7.090,100.111,0.706
19,1.000,1.288,-7.090,100.134,0.570,19,1.000,1.345,-7.090,100.111,0.706
20,1.000,1.288,-7.090,100.134,0.570,20,1.000,1.345,-7.090,100.111,0.706
21,1.000,1.240,-7.090,100.137,0.567,21,1.000,1.328,-7.090,100.110,0.705
22,1.000,1.240,-7.090,100.137,0.567,22,1.000,1.328,-7.090,100.110,0.705
23,1.000,1.240,-7.090,100.137,0.567,23,1.000,1.328,-7.090,100.110,0.705
24,1.000,1.260,-7.090,100.136,0.565,24,1.000,1.331,-7.090,100.108,0.705
25,1.000,1.260,-7.090,100.136,0.565,25,1.000,1.331,-7.090,100.108,0.705
26,1.000,1.260,-7.090,100.136,0.565,26,1.000,1.331,-7.090,100.108,0.705
27,1.000,1.259,-7.090,100.137,0.565,27,1.000,1.331,-7.090,100.106,0.705
28,1.000,1.259,-7.090,100.137,0.565,28,1.000,1.331,-7.090,100.106,0.705
29,1.000,1.259,-7.090,100.137,0.565,29,1.000,1.331,-7.090,100.106,0.705
,,,,,,30,1.000,1.331,-7.090,100.095,0.705
,,,,,,31,1.000,1.331,-7.090,100.095,0.705
,,,,,,32,1.000,1.331,-7.090,100.095,0.705
,,,,,,33,1.000,1.330,-7.090,100.042,0.705
,,,,,,34,1.000,1.330,-7.090,100.042,0.705
,,,,,,35,1.000,1.330,-7.090,100.042,0.705
,,,,,,36,1.000,1.328,-7.090,99.777,0.705
,,,,,,37,1.000,1.328,-7.090,99.777,0.705
,,,,,,38,1.000,1.328,-7.090,99.777,0.705
,,,,,,39,1.000,1.315,-7.090,98.443,0.702
,,,,,,40,1.000,1.315,-7.090,98.443,0.702
,,,,,,41,1.000,1.315,-7.090,98.443,0.702
,,,,,,42,1.000,1.252,-7.090,91.616,0.688
,,,,,,43,1.000,1.252,-7.090,91.616,0.688
,,,,,,44,1.000,1.252,-7.090,91.616,0.688
,,,,,,45,1.000,1.000,-7.090,65.082,0.635
,,,,,,46,1.000,1.000,-7.090,65.082,0.635
,,,,,,47,1.000,1.000,-7.090,65.082,0.635
,,,,,,48,1.000,1.000,-7.090,62.262,0.635
,,,,,,49,1.000,1.000,-7.090,63.559,0.634
,,,,,,50,1.000,1.000,-7.090,63.559,0.634
,,,,,,51,1.000,1.000,-7.090,63.559,0.634
,,,,,,52,1.000,1.000,-7.090,63.602,0.634
,,,,,,53,1.000,1.000,-7.090,63.602,0.634
,,,,,,54,1.000,1.000,-7.090,63.602,0.634
